subject,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
1,all,ann_sew_binary,0.8587962962962963,0.8587962962962964,0.7175925925925926,0.8587850195616301
1,all,sew_clif_binary,0.9398148148148149,0.9398148148148149,0.8796296296296297,0.939808562438247
1,n25,ann_sew_binary,0.8402777777777778,0.8402777777777778,0.6805555555555557,0.8398829559827995
1,n25,sew_clif_binary,0.9212962962962963,0.9212962962962964,0.8425925925925926,0.9212650207054991
1,n50,ann_sew_binary,0.8472222222222223,0.8472222222222223,0.6944444444444445,0.847204357550682
1,n50,sew_clif_binary,0.9212962962962964,0.9212962962962963,0.8425925925925926,0.9212811113254871
2,all,ann_sew_binary,0.6226851851851852,0.6226851851851852,0.24537037037037038,0.6203954213636762
2,all,sew_clif_binary,0.625,0.625,0.25,0.6243579554027785
2,n25,ann_sew_binary,0.5925925925925926,0.5925925925925927,0.1851851851851852,0.5887628870843226
2,n25,sew_clif_binary,0.5925925925925926,0.5925925925925926,0.18518518518518512,0.5722355047622755
2,n50,ann_sew_binary,0.5949074074074074,0.5949074074074074,0.18981481481481488,0.5833308504793305
2,n50,sew_clif_binary,0.6342592592592592,0.6342592592592593,0.26851851851851855,0.6296404295691174
3,all,ann_sew_binary,0.8587962962962963,0.8587962962962963,0.7175925925925926,0.8586544467025502
3,all,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9513060120554945
3,n25,ann_sew_binary,0.8125,0.8125,0.625,0.8109737573576385
3,n25,sew_clif_binary,0.9328703703703703,0.9328703703703703,0.8657407407407408,0.9326636686001465
3,n50,ann_sew_binary,0.8425925925925926,0.8425925925925926,0.6851851851851851,0.841988706216088
3,n50,sew_clif_binary,0.9375,0.9375,0.875,0.9373160893999634
4,all,ann_sew_binary,0.6898148148148149,0.6898148148148149,0.3796296296296297,0.6832899795369446
4,all,sew_clif_binary,0.7314814814814814,0.7314814814814814,0.46296296296296297,0.7205980955007222
4,n25,ann_sew_binary,0.6504629629629629,0.6504629629629629,0.300925925925926,0.6484559662574957
4,n25,sew_clif_binary,0.7199074074074074,0.7199074074074074,0.4398148148148148,0.7102418035086782
4,n50,ann_sew_binary,0.6759259259259259,0.6759259259259259,0.35185185185185186,0.6687557423631793
4,n50,sew_clif_binary,0.7245370370370371,0.7245370370370371,0.449074074074074,0.7168202507127569
5,all,ann_sew_binary,0.8171296296296297,0.8171296296296297,0.6342592592592592,0.816556502111245
5,all,sew_clif_binary,0.9328703703703703,0.9328703703703706,0.8657407407407408,0.9326868946578495
5,n25,ann_sew_binary,0.7291666666666666,0.7291666666666666,0.4583333333333334,0.7255408795097088
5,n25,sew_clif_binary,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.91633146079203
5,n50,ann_sew_binary,0.8009259259259259,0.8009259259259259,0.6018518518518517,0.8005802958772246
5,n50,sew_clif_binary,0.9050925925925926,0.9050925925925926,0.8101851851851851,0.9046950008607878
6,all,ann_sew_binary,0.6342592592592592,0.6342592592592593,0.26851851851851855,0.6317134586106099
6,all,sew_clif_binary,0.6689814814814814,0.6689814814814815,0.33796296296296297,0.665325582214661
6,n25,ann_sew_binary,0.6365740740740741,0.6365740740740741,0.2731481481481481,0.6329886986421941
6,n25,sew_clif_binary,0.6550925925925927,0.6550925925925927,0.3101851851851852,0.6524128812742095
6,n50,ann_sew_binary,0.6527777777777778,0.6527777777777778,0.3055555555555556,0.6520849767907967
6,n50,sew_clif_binary,0.6574074074074073,0.6574074074074074,0.3148148148148148,0.6551633827936003
7,all,ann_sew_binary,0.7546296296296297,0.7546296296296297,0.5092592592592592,0.7518862340824682
7,all,sew_clif_binary,0.8773148148148149,0.8773148148148149,0.7546296296296298,0.8766577764211873
7,n25,ann_sew_binary,0.6990740740740741,0.6990740740740741,0.39814814814814814,0.6900731865840108
7,n25,sew_clif_binary,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.8533740162590643
7,n50,ann_sew_binary,0.7245370370370371,0.7245370370370371,0.449074074074074,0.7143398389605812
7,n50,sew_clif_binary,0.8587962962962963,0.8587962962962963,0.7175925925925926,0.8574606983136152
8,all,ann_sew_binary,0.8935185185185186,0.8935185185185185,0.7870370370370371,0.8931877981969915
8,all,sew_clif_binary,0.9606481481481483,0.9606481481481483,0.9212962962962963,0.9605784628544983
8,n25,ann_sew_binary,0.8935185185185185,0.8935185185185185,0.7870370370370371,0.8933230477838136
8,n25,sew_clif_binary,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9582845937964048
8,n50,ann_sew_binary,0.8912037037037037,0.8912037037037037,0.7824074074074074,0.8907413396348033
8,n50,sew_clif_binary,0.9513888888888888,0.9513888888888888,0.9027777777777777,0.9513013824252626
9,all,ann_sew_binary,0.8009259259259259,0.8009259259259259,0.6018518518518519,0.8004503227155458
9,all,sew_clif_binary,0.8634259259259259,0.8634259259259259,0.7268518518518517,0.8634193392814082
9,n25,ann_sew_binary,0.7291666666666666,0.7291666666666666,0.4583333333333333,0.7269741131038899
9,n25,sew_clif_binary,0.863425925925926,0.8634259259259259,0.726851851851852,0.8632501686572752
9,n50,ann_sew_binary,0.7685185185185186,0.7685185185185186,0.5370370370370371,0.7681114112108737
9,n50,sew_clif_binary,0.8634259259259259,0.8634259259259259,0.7268518518518517,0.8633824741590846
